items,k,exact_agreement,mean_diff,mean_abs_diff
220045+223769+223941+223947,4,0.1713315871692174,-0.4735197735467882,2.065575118335898
220045+220047+223935,3,0.1713315871692174,-0.5571007411409578,2.069333677867957
220045+220047+223935+228194,4,0.1713315871692174,-0.5622217785033886,2.074454715230388
220045+220047+223935+230037,4,0.1713198416706797,-0.5575235790883144,2.069662551827012
220045+220046+223935+229770,4,0.17126111417799128,-0.559402858854344,2.0728808184263383
220045+223770+223945+223947,4,0.1712493686794536,-0.5043634527067501,2.069709533821163
220045+220047+223935+229770,4,0.17123762318091593,-0.5612938841189115,2.0720468880301626
220045+223769+223945+223947,4,0.1711671501896898,-0.4846310151634386,2.073139219394167
220045+223770+223940+223947,4,0.17090874922186072,-0.5242133452354385,2.086951925674485
220045+223769+223940+223947,4,0.17082653073209692,-0.504480907692127,2.0903816112474893
220045+220046+223935+223942,4,0.17081478523355925,-0.6157225243425457,2.125465415379556
220045+220047+223935+223942,4,0.1707560577408708,-0.6176135496071131,2.1246784669775307
220045+223770+223944+223947,4,0.17073256674379544,-0.49587145726400356,2.0638250390537825
220045+223770+223939+223947,4,0.17069733024818237,-0.49730440808560117,2.0642713679982148
220045+223769+223944+223947,4,0.17063860275549395,-0.47613901972069206,2.0672782156238623
220045+223769+223939+223947,4,0.1706151117584186,-0.47757197054228967,2.067701053571219
220045+220046+223935+223946,4,0.1704389292803533,-0.5894126076181303,2.0966184709710003
220045+220046+223935+223941,4,0.17042718378181562,-0.5952031383972093,2.1014928528641397
220045+220047+223935+223946,4,0.1703567107905895,-0.5913036328826977,2.0958550135660508
220045+220047+223935+223941,4,0.1703567107905895,-0.5970941636617766,2.100705904462115
220045+220046+223947+223949,4,0.1701100553212981,-0.5568423401731286,2.076545413970096
220045+220046+223935+223945,4,0.17009830982276042,-0.6063143800138597,2.1100905577937255
220045+220046+223935+223940,4,0.17006307332714737,-0.626164272542548,2.127732296597329
220045+220046+223938+223947,4,0.170039582330072,-0.5643829502343227,2.0776964728267893
220045+220047+223935+223945,4,0.170039582330072,-0.608205405278427,2.109303609391701
220045+220047+223935+223940,4,0.16996910933884588,-0.6280552978071154,2.1270158211865304
220045+220047+223947+223949,4,0.16994561834177052,-0.558733365437696,2.075946393544674
220045+220047+223938+223947,4,0.16992212734469514,-0.56627397549889,2.0770504704072166
220045+223770+223935,3,0.16985165435346902,-0.5332103971153056,2.089348007376173
220045+223770+223935+228194,4,0.16985165435346902,-0.5383314344777365,2.094469044738604
220045+223770+223935+230037,4,0.16983990885493136,-0.5336332350626622,2.089676881335228
220045+223770+223935+229770,4,0.16973419936809217,-0.5374035400932593,2.092037726541303
220045+220046+223935+223944,4,0.16971070837101682,-0.5978223845711131,2.1041120990380437
220045+220046+223935+223939,4,0.16967547187540374,-0.5992553353927107,2.1046054099766263
220045+220047+223935+223944,4,0.1696519808783284,-0.5997134098356804,2.1032546776447925
220045+220047+223935+223939,4,0.169628489881253,-0.6011463606572781,2.103794970577526
220045+223769+223935,3,0.16958150788710227,-0.513477959571994,2.0929186389316294
220045+223769+223935+228194,4,0.16958150788710227,-0.5185989969344249,2.0980396762940603
220045+223769+223935+230037,4,0.16956976238856458,-0.5139007975193507,2.0932475128906844
220045+223769+223935+229770,4,0.1694757984002631,-0.5176711025499477,2.095584867099684
220045+223770+223935+223942,4,0.16928787042366014,-0.5937232055814609,2.1444813775120686
220045+223769+223935+223942,4,0.16900597845875567,-0.5739907680381494,2.148005027073374
220045+223770+223935+223946,4,0.1689120144704542,-0.5674132888570456,2.1155874511093624
220045+223770+223935+223941,4,0.16884154147922809,-0.5732038196361244,2.1205088149966524
220045+223769+223938+223947,4,0.1686888499982382,-0.5226511939299263,2.0997427735820247
220045+223769+223935+223946,4,0.1686888499982382,-0.547680851313734,2.1190171366823667
220045+223770+223935+223945,4,0.16865361350262512,-0.5843150612527749,2.1289890649408614
220045+223769+223935+223941,4,0.16861837700701207,-0.5534713820928129,2.123915009572581
220045+223770+223938+223947,4,0.168583140511399,-0.5423836314732379,2.096735925956377
220045+223770+223935+223940,4,0.168583140511399,-0.6041649537814633,2.1466073127473897
220045+223770+223947+223949,4,0.1684421945289468,-0.5348430214120439,2.09596072305289
220045+223769+223935+223945,4,0.1684421945289468,-0.5645826237094633,2.1323482775226394
220045+223769+223947+223949,4,0.16837172153772068,-0.5151105838687323,2.0990380436697635
220045+223769+223935+223940,4,0.16835997603918298,-0.5844325162381517,2.1499665253291678
